MLVA,date,COUNT(*)
3-12-10-12-523,1/20/16,1
3-24-13-10-523,1/20/16,2
3-26-19-8-523,1/20/16,1
3-9-12-11-496,1/20/16,1
4-13-12-0-490,1/20/16,1
4-15-14-0-490,1/20/16,1
3-11-10-8-523,1/21/08,1
3-13-10-10-496,1/21/08,1
3-14-11-9-523,1/21/08,1
3-15-16-9-523,1/21/08,1
3-25-13-12-523,1/21/08,1
3-10-10-13-523,1/21/09,1
3-11-11-8-523,1/21/09,1
3-11-8-13-523,1/21/09,1
3-12-6-11-523,1/21/09,1
3-15-10-13-523,1/21/09,1
3-21-12-12-523,1/21/09,1
3-9-7-12-523,1/21/09,2
3-9-7-13-523,1/21/09,4
3-9-8-12-523,1/21/09,2
4-16-13-0-517,1/21/09,1
3-10-14-10-496,1/21/10,1
3-10-15-12-496,1/21/10,1
3-10-7-9-523,1/21/10,1
3-16-16-13-523,1/21/10,1
3-9-6-13-523,1/21/10,1
3-9-7-14-523,1/21/10,2
3-9-8-14-523,1/21/10,1
4-15-13-0-517,1/21/10,1
5-15-19-13-490,1/21/10,1
3-10-13-12-496,1/21/11,1
3-12-15-13-523,1/21/11,1
3-13-9-15-523,1/21/11,1
3-9-7-13-523,1/21/11,4
3-9-7-14-523,1/21/11,1
3-9-7-16-523,1/21/11,1
3-10-15-12-496,1/21/12,1
3-12-15-13-523,1/21/12,1
5-13-11-9-490,1/21/12,1
3-10-14-12-496,1/21/13,1
3-10-8-9-523,1/21/13,2
3-12-16-13-523,1/21/13,1
3-13-11-8-523,1/21/13,1
3-13-8-12-523,1/21/13,1
3-17-9-12-523,1/21/13,5
3-9-7-13-523,1/21/13,1
3-9-8-12-523,1/21/13,2
3-9-8-13-523,1/21/13,1
3-9-8-9-523,1/21/13,1
4-16-19-0-517,1/21/13,1
3-10-13-11-496,1/21/14,1
3-10-14-10-496,1/21/14,1
3-10-14-11-496,1/21/14,2
3-10-8-14-523,1/21/14,1
3-13-11-9-523,1/21/14,1
3-14-10-8-523,1/21/14,1
3-16-9-11-523,1/21/14,1
3-17-9-11-523,1/21/14,1
3-24-12-12-523,1/21/14,1
3-24-21-10-523,1/21/14,1
3-9-4-12-523,1/21/14,1
3-9-9-12-523,1/21/14,1
4-13-0-0-490,1/21/14,1
5-15-10-11-490,1/21/14,1
3-10-9-12-523,1/21/15,1
3-11-14-10-496,1/21/15,1
3-12-11-12-523,1/21/15,1
3-12-12-9-523,1/21/15,2
3-14-12-9-523,1/21/15,1
3-24-14-11-523,1/21/15,3
3-9-7-12-523,1/21/15,1
4-14-13-0-517,1/21/15,1
5-22-9-13-457,1/21/15,1
3-10-15-11-496,1/21/16,1
3-17-9-10-523,1/21/16,1
3-18-9-11-523,1/21/16,1
3-24-14-12-523,1/21/16,1
3-26-17-10-523,1/21/16,1
3-26-19-8-523,1/21/16,1
3-10-8-9-523,1/22/08,2
3-17-16-13-523,1/22/08,1
5-14-9-9-490,1/22/08,2
3-10-7-12-523,1/22/09,1
3-10-8-9-523,1/22/09,1
3-10-9-9-523,1/22/09,1
3-11-10-8-523,1/22/09,1
3-12-9-10-550,1/22/09,2
3-9-7-12-523,1/22/09,4
5-14-9-9-490,1/22/09,1
5-15-15-12-490,1/22/09,1
6-14-17-13-490,1/22/09,1
3-12-11-15-523,1/22/10,2
3-14-11-12-523,1/22/10,1
3-14-8-14-523,1/22/10,1
3-9-0-14-523,1/22/10,1
3-9-6-13-523,1/22/10,1
3-9-7-14-523,1/22/10,1
3-9-8-13-523,1/22/10,2
5-15-16-12-490,1/22/10,1
5-15-16-13-490,1/22/10,1
3-10-8-13-523,1/22/11,1
3-14-9-11-523,1/22/11,1
3-9-7-13-523,1/22/11,1
3-9-7-15-523,1/22/11,1
3-9-8-13-523,1/22/11,1
3-10-15-12-496,1/22/12,1
4-17-11-0-490,1/22/12,1
3-10-13-12-496,1/22/13,2
3-10-16-0-523,1/22/13,1
3-10-8-9-523,1/22/13,2
3-11-13-12-496,1/22/13,1
3-15-8-14-523,1/22/13,1
3-17-9-12-523,1/22/13,2
3-27-8-21-496,1/22/13,1
3-6-8-9-523,1/22/13,1
3-9-8-12-523,1/22/13,1
3-9-8-13-523,1/22/13,1
3-9-8-9-523,1/22/13,2
5-12-10-9-490,1/22/13,1
